Team,UniqueTeamsCollaboratedWith,ExternalCollabScore,InternalCollabScore
Team Alessi,7,9,0.667
Team Awatramani,2,2,0.3
Team Biederer,3,7,0
Team Calakos,0,0,0.1
Team Chen,2,2,0.5
Team Cragg,2,2,0.2
Team De Camilli,2,2,0.5
Team Desjardins,0,0,0.5
Team Edwards,3,5,0.3
Team Gradinaru,1,5,0.2
Team Hafler,1,1,0.1
Team Hardy,11,37,0.5
Team Harper,3,5,0.3
Team Hurley,2,3,0.6
Team Jakobsson,2,6,0.5
Team Kaplitt,2,2,0.5
Team Kirik,3,7,0.6
Team Kordower,3,7,1
Team Lee,3,7,0
Team Liddle,5,7,0.2
Team MAC,0,0,0
Team Mobley,1,1,0.1
Team Reck-Peterson,1,1,0.667
Team Rio,2,2,1
Team Schapira,5,10,0.5
Team Scherzer,5,7,0.5
Team Schlossmacher,6,11,1
Team Strick,1,1,0.1
Team Studer,5,7,0.5
Team Sulzer,4,12,0.167
Team Surmeier,3,3,0.133
Team Vangheluwe,5,5,0.6
Team Vila,4,8,0
Team Voet,2,3,0.1
Team Wichmann,4,4,0.667
Team Wood,11,39,1
